title,company,location,date_posted
Senior Data Scientist / Data Scientist – Data & AI Practice,BrickRed Technologies -,"Cairo, Egypt",1 month ago
Senior Data Scientist,DOT Information Technology -,"New Cairo, Cairo, Egypt",1 month ago
Senior Data Scientist – Data & AI Practice,BrickRed Technologies  -,"New Cairo, Cairo, Egypt",1 month ago
Data Scientist,COB Solution  -,"Maadi, Cairo, Egypt",2 months ago
Senior Power BI Developer,BI-Technologies -,"New Cairo, Cairo, Egypt",1 month ago
Data Scientist,Unlimiteck -,"Riyadh, Saudi Arabia",20 days ago
Sr. Data Engineer,BrickRed Technologies -,"Cairo, Egypt",1 month ago
Data Analyst,Confidential -,"New Cairo, Cairo, Egypt",1 month ago
Senior Data Engineer,Erada -,"Maadi, Cairo, Egypt",2 months ago
AI Developer (Python),Ultimate Solutions Egypt -,"Sheikh Zayed, Giza, Egypt",1 month ago
Python Backend Developer – AI & Chatbots,OTIC -,"New Cairo, Cairo, Egypt",30 days ago
Data Engineer-,Master-Works -,"Riyadh, Saudi Arabia",28 days ago
Full Stack Developer,Cherwell Associates -,"Zamalek, Cairo, Egypt",1 month ago
Full Stack Developer,TheFedexperience -,"New Cairo, Cairo, Egypt",1 month ago
Senior Full Stack ASP.NET Developer,Al Attiya Computer and Technology  -,"Hadayek Alkobba, Cairo, Egypt",1 month ago
